
-----------

-----------

 blockSizes
[(4, 4), (4, 8), (4, 16), (4, 32), (4, 128), (4, 256), (8, 8), (8, 16), (8, 64), (8, 128), (16, 16), (16, 32), (16, 64), (32, 32)]

 timeSteps
[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]

 dominios
[(96, 96), (256, 256), (512, 512), (1024, 1024), (2048, 2048), (4096, 4096), (8192, 8192)]



 DOMINIO 96x96


(4, 4)

(1,76.36166)
(2,65.72339)
(3,72.33945)
(4,84.85885)
(5,101.73645)
(6,122.12736)
(7,141.45126)
(8,211.93633)
(9,250.42740)
(10,291.00513)
(11,341.54926)
(12,532.46967)
(13,615.15466)
(14,688.72705)
----------

(4, 8)

(1,69.17529)
(2,44.07008)
(3,45.67955)
(4,50.71440)
(5,57.67251)
(6,65.68006)
(7,75.11242)
(8,85.73235)
(9,97.28624)
(10,109.70522)
(11,195.15724)
(12,219.52103)
(13,245.57024)
(14,274.70908)
----------

(4, 16)

(1,56.13680)
(2,43.63571)
(3,54.42048)
(4,57.22141)
(5,62.48647)
(6,66.32784)
(7,72.98765)
(8,81.14471)
(9,73.51776)
(10,78.77939)
(11,86.54947)
(12,94.55610)
(13,103.50080)
(14,184.24596)
----------

(4, 32)

(1,56.20634)
(2,42.56784)
(3,39.59808)
(4,39.81293)
(5,42.36858)
(6,45.57808)
(7,49.15401)
(8,53.15725)
(9,57.69002)
(10,62.20070)
(11,66.88742)
(12,71.88496)
(13,77.62724)
(14,83.20377)
----------

(4, 128)

(1,58.17997)
(2,44.23699)
(3,40.26285)
(4,40.20563)
(5,52.80630)
(6,55.04102)
(7,57.00518)
(8,59.62531)
(9,63.53600)
(10,66.97165)
(11,71.36359)
(12,0.68886)
(13,0.64506)
(14,0.60006)
----------

(4, 256)

(1,84.47495)
(2,60.14054)
(3,57.67453)
(4,57.90208)
(5,63.04973)
(6,1.58000)
(7,1.17146)
(8,0.85699)
(9,0.91984)
(10,0.82227)
(11,0.75190)
(12,0.70240)
(13,0.64643)
(14,0.59398)
----------

(8, 8)

(1,56.17366)
(2,43.53536)
(3,43.45370)
(4,44.58086)
(5,47.64541)
(6,52.36739)
(7,57.33350)
(8,62.51654)
(9,68.58138)
(10,76.02381)
(11,82.85485)
(12,90.26970)
(13,98.88377)
(14,107.66131)
----------

(8, 16)

(1,69.41971)
(2,39.99558)
(3,47.10669)
(4,46.75174)
(5,48.21402)
(6,51.18390)
(7,55.17210)
(8,58.98957)
(9,63.23200)
(10,66.15932)
(11,71.05571)
(12,64.39834)
(13,66.93072)
(14,70.98486)
----------

(8, 64)

(1,68.57114)
(2,40.76006)
(3,36.16838)
(4,35.17578)
(5,34.80179)
(6,35.23043)
(7,36.10624)
(8,37.40480)
(9,39.53264)
(10,41.12198)
(11,43.18387)
(12,45.32733)
(13,47.14525)
(14,48.87344)
----------

(8, 128)

(1,69.89532)
(2,50.50637)
(3,45.20182)
(4,43.64391)
(5,44.16714)
(6,53.26272)
(7,54.63834)
(8,56.90170)
(9,59.59702)
(10,0.68186)
(11,0.60621)
(12,0.69152)
(13,0.65126)
(14,0.59997)
----------

(16, 16)

(1,70.06528)
